Codigo,Nombre,Stock
"01932","BANQUETA REGULABLE KAWAI",0
"019954121136","JGO GUIT.ACÚSTICA D´ADDARIO EJ-15 (010-047) FOSF",0
"019954121143","JUEGO CUERDAS GUITARRA ACÚSTICA D´ADDARIO 012-053",2
"019954121266","JUEGO GUIT.CLÁSICA D´ADDARIO EJ45",13
"019954121273","JUEGO GUIT.CLÁSICA D´ADDARIO EJ46 TNS ALTA",2
"019954121297","JUEGO CUERDAS GUIT.CLÁSICA D´ADDARIO COMPOSITES T.",0
"019954122119","JGO GUIT.ACÚSTICA D´ADDARIO EJ-10 (010-047)",0
"019954122126","JGO GUIT.ACÚSTICA D´ADDARIO EJ-11 (012-053)",0
"019954122133","JGO GUIT.ACÚSTICA D´ADDARIO EJ-12 (013-056)",3
"019954122164","JGO GUIT.ACÚSTICA D´ADDARIO EJ-26 (011-052)",4
"019954123079","JUEGO CUERDAS GUITACÚS D´ADDARIO0.10-0.50BRONZE",0
"019954141271","JUEGO GUIT.ELECTRICA D´ADDARIO EXL-110 (010-046)",5
"019954141295","JUEGO GUIT.ELECTRICA D´ADDARIO EXL-120 (009-042)",3
"019954141301","JUEGO GUIT.ELECTRICA D´ADDARIO EXL-125 (009-046)",2
"019954141318","JUEGO CUERDAS GUITARRA ELÉCTRICA D´ADDARIO EXL130",3
"019954141356","JUEGO GUIT.ELECTRICA D´ADDARIO EXL-140 (010-052)",5
"019954151232","JUEGO CUERDAS BAJO ELÉCTRICO. D´ADDARIO EXL170-4",0
"019954151256","JUEGO CUERDAS BAJOELÉC. EXL170-5. REGULARLIGHT",0
"019954151263","JUEGO CUERDAS BAJOELEC D´ADDARIO EXL165",0
"019954160029","RESINA VIOLIN/VIOLA/CELLO KAPLAN ARTCRAFT7",0
"019954160043","RESINA VIOLIN D´ADDARIO. VR200 CLARA",0
"019954162016","JUEGO VIOLÍN D´ADDARIO PRELUDE 4/4 TENS.NORMAL",0
"019954162023","JUEGO CUERDAS VIOLÍN 3/4 D´ADDARIO PRELUDE",1
"019954162030","JUEGO CUERDAS VIOLÍN 1/2 D´ADDARIO PRELUDE",0
"019954162047","JUEGO CUERDAS VIOLÍN 1/4 D´ADDARIO PRELUDE",0
"019954162054","JUEGO CUERDAS VIOLIN 1/8 PRELUDE",0
"019954167028","JUEGO CUERDAS VIOLA PRELUDE J910 MM",0
"019954168070","JGO CUERDAS VIOLA D´ADDARIOPROARTE J58MMTENS.MEDIA",0
"019954169022","JUEGO CUERDAS VIOLA D'ADDARIO T.MEDIA",0
"019954172053","JUEGO CUERDAS CELLO 4/4 PRELUDE",0
"019954182199","JGO D'ADDARIO ACUSTICA NIQUEL BRONCE 10-47",0
"019954191580","AFINADOR DADDARIO ECLIPSE",0
"019954211011","CUERDA GUITARRA ELÉCTRICA D´ADDARIO PL-007",3
"019954211028","CUERDA GUITARRA ELÉCTRICA D´ADDARIO PL-008",7
"019954211042","CUERDA D'ADDARIO ELÉCTRICA O ACÚSTICA PL009",4
"019954211066","CUERDA D'ADDARIO ELÉCTRICA O ACÚSTICA PL010",5
"019954211080","CUERDA D'ADDARIO ELÉCTRICA O ACÚSTICA PL011",5
"019954211103","CUERDA D'ADDARIO ELÉCTRICA O ACÚSTICA PL012",5
"019954211110","CUERDA D'ADDARIO ELÉCTRICA O ACÚSTICA PL013",4
"019954211127","CUERDA D'ADDARIO ELÉCTRICA O ACÚSTICA PL014",5
"019954211134","CUERDA D'ADDARIO ELÉCTRICA O ACÚSTICA PL015",11
"019954211141","CUERDA D'ADDARIO ELÉCTRICA O ACÚSTICA PL016",7
"019954211158","CUERDA D'ADDARIO ELÉCTRICA O ACÚSTICA PL017",7
"019954211165","CUERDA GUITARRA ELÉCTRICA D´ADDARIO PL-018",2
"019954211172","CUERDA GUITARRA ELÉCTRICA D´ADDARIO PL-019",3
"019954211189","CUERDA GUITARRA ELÉCTRICA D´ADDARIO PL-020",3
"019954211196","CUERDA D'ADDARIO ELECTRICA O ACUSTICA PL022",6
"019954221041","CUERDA D'ADDARIO ACÚSTICA PB023",0
"019954221058","CUERDA 4ª GUIT.ACÚSTICA D´ADDARIO 0.24 BRONZE",0
"019954221102","CUERDA 4ª GUIT.ACÚSTICA D´ADDARIO 0.30",4
"019954221119","CUERDA 4ª GUIT. ACÚSRTICA D´ADDARIO 0.32",3
"019954221126","CUERDA GUITARRA ELÉCTRICA D´ADDARIO PB-034",3
"019954221133","CUERDA GUITARRA ELÉCTRICA D´ADDARIO PB-035",3
"019954221140","CUERDA GUITARRA ELÉCTRICA D´ADDARIO PB-036",3
"019954221157","CUERDA D'ADDARIO ACÚSTICA PB039",6
"019954221164","CUERDA D'ADDARIO ACÚSTICA PB042",3
"019954221171","CUERDA GUITARRA ELÉCTRICA D´ADDARIO PB-045",1
"019954221188","CUERDA D'ADDARIO ACÚSTICA PB047",2
"019954221195","CUERDA GUITARRA ELÉCTRICA D´ADDARIO PB-049",3
"019954221201","CUERDA D'ADDARIO ACÚSTICA PB052",2
"019954221218","CUERDA GUITARRA ELÉCTRICA D´ADDARIO PB-053",3
"019954221225","CUERDA GUITARRA ELÉCTRICA D´ADDARIO PB-056",3
"019954231040","CUERDA 1º D'ADDARIO T.NORM. CLÁSICA J-4501",1
"019954231057","CUERDA 2º D'ADDARIO T.NORM. CLÁSICA J-4502",3
"019954231064","CUERDA 3º D'ADDARIO T.NORM. CLÁSICA J-4503",16
"019954231071","CUERDA 1º D'ADDARIO T.FUERTE CLÁSICA J-4601",5
"019954231088","CUERDA 2º D'ADDARIO T.FUERTE CLÁSICA J-4602",15
"019954231095","CUERDA 3º D'ADDARIO T.FUERTE CLÁSICA J-4603",16
"019954234041","CUERDA 4º D'ADDARIO T.NORM. CLÁSICA J-4504",0
"019954234058","CUERDA 5º D'ADDARIO T.NORM. CLÁSICA J-4505",0
"019954234065","CUERDA 6º D'ADDARIO T.NORM. CLÁSICA J-4506",2
"019954234072","CUERDA 4º D'ADDARIO T.FUERTE CLÁSICA J-4604",0
"019954234089","CUERDA 5º D'ADDARIO T.FUERTE CLÁSICA J-4605",3
"019954234096","CUERDA 6º D'ADDARIO T.FUERTE CLÁSICA J-4606",5
"019954241070","CUERDA D'ADDARIO ELÉCTRICA NW024",6
"019954241087","CUERDA D'ADDARIO ELÉCTRICA NW026",5
"019954241100","CUERDA D'ADDARIO ELÉCTRICA NW030",5
"019954241117","CUERDA D'ADDARIO ELÉCTRICA 0.32",0
"019954241131","CUERDA D'ADDARIO ELÉCTRICA NW036",3
"019954241162","CUERDA D'ADDARIO ELÉCTRICA 042B",0
"019954241186","CUERDA D'ADDARIO ELÉCTRICA NW046",0
"019954241209","CUERDA 6ª ELÉCTR. 0.52 D´ADDARIO",0
"019954241506","CUERDA 6ª ELÉCTR. D´ADDARIO 0.48",0
"019954251406","CUERDA BAJO XLB130",0
"019954255619","3 PACK JUEGOS CUERDAS D'DDARIO EJ27N-3D",5
"019954261016","CUERDA 1ª (MI) VIOLÍN D´ADDARIO PRELUDE",0
"019954261214","CUERDA 1ª VIOLÍN KAPLAN GOLDEN SPIRAL",0
"019954267056","CUERDA VIOLA 1ª (LA) PRELUDE MEDIUM J911MM 15/16",0
"019954267063","CUERDA VIOLA 2ª (RE) PRELUDE MEDIUM J912MM 15/16",2
"019954267070","CUERDA VIOLA 3ª (SOL) PRELUDE MEDIUM J913MM 15/16",2
"019954267087","CUERDA VIOLA 4ª (DO) PRELUDE MEDIUM J914MM 15/16",2
"019954267094","CUERDA VIOLA 1ª (LA) PRELUDE MEDIUM J911SM 14/15",1
"019954267100","CUERDA VIOLA 2ª (RE) PRELUDE MEDIUM J912SM 14/15",2
"019954267117","CUERDA VIOLA 3ª (SOL) PRELUDE MEDIUM J913SM 14/15",2
"019954267124","CUERDA VIOLA 4ª (DO) PRELUDE MEDIUM J914SM 14/15",2
"019954267216","CUERDA VIOLA 1ª (LA) PRELUDE MEDIUM J911XSM 13/14",2
